what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1454786719097
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454786731586
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454786756521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454786758193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454786758360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454786768099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454786768252
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1454786771389
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1454786779759
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1454786780318
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1454786780633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1454786780960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1454786781408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1454786781750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1454786781972
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454786789835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454786791741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454786791897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454786795522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454786795710
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1454786799116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454786806350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454786809402
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1454786809402
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1454786812894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454786816424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454786818080
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1454786818095
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454786825862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454786870224
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454786875281
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1454786877753
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454786881865
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1454786885549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454786888759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454786911176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454786913887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454786914844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454786920602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787036072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454787065953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787069813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787069985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454787076657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454787081641
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454787084875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787090242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787100129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454787103783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787105689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787105861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787111896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787154234
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1454787156656
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1454787156813
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1454787156969
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1454787157125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1454787158344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1454787177959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787187490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787257852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454787267834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454787277463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454787294532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787297371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787297574
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454787302388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787305404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787305575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1454787334671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787344766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787347438
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1454787347454
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1454787351438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787356711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787358255
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1454787358270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787365991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787387544
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1454787393978
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1454787406384
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454787410475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787412225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787412399
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1454787427637
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1454787433138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787436367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454787438088
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1454787438100
