what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1455210995653
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1455210995656
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.400.v201102241833,"org.eclipse.wst.jsdt.web.support.jsp",1455210995657
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1455210995677
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1455210995678
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1455210995684
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1455210995692
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1455210995730
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1455210995730
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1455210995737
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1455210995738
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1455210995757
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1455210995778
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1455210995779
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1455210995809
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1455210995810
os,sysinfo,,,"win32",1455210995820
arch,sysinfo,,,"x86_64",1455210995820
ws,sysinfo,,,"win32",1455210995820
locale,sysinfo,,,"en_US",1455210995820
processors,sysinfo,,,"2",1455210995820
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1455210995820
java.runtime.version,sysinfo,,,"1.8.0_05-b13",1455210995820
java.specification.name,sysinfo,,,"Java Platform API Specification",1455210995820
java.specification.vendor,sysinfo,,,"Oracle Corporation",1455210995820
java.specification.version,sysinfo,,,"1.8",1455210995820
java.vendor,sysinfo,,,"Oracle Corporation",1455210995820
java.version,sysinfo,,,"1.8.0_05",1455210995820
java.vm.info,sysinfo,,,"mixed mode",1455210995820
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1455210995820
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1455210995820
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1455210995820
java.vm.specification.version,sysinfo,,,"1.8",1455210995820
java.vm.vendor,sysinfo,,,"Oracle Corporation",1455210995820
java.vm.version,sysinfo,,,"25.5-b02",1455210995820
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1455210997316
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1455211017048
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1455211017104
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455211020916
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1455211021836
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1455211021863
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1455211021919
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1455211021922
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1455211022477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211027912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211029194
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1455211029215
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1455211029580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211033547
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1455211034967
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1455211290667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211387113
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1455211387472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211391814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211421843
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1455211422124
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455211422140
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455211425581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211429660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211431848
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1455211431863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211432192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211432348
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1455211440126
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1455211440283
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1455211440892
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1455211441134
opened,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1455211442168
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1455211444778
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1455211451487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211456909
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211499208
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1455211501635
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1455211512037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211513649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211521006
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455211524871
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211528762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211535951
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1455211535961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211555304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211556819
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1455211556850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211565739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211620146
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1455211621700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211628394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211633197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211634498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211635491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211638670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211677044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455211827568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455212338455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455212478418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455212833254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455212835926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455213064205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455213583495
