what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1454783385272
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1454783385662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783435928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783445694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1454783447772
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1454783449787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1454783450147
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1454783461600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783470178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783491670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783492483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783670420
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454783681788
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454783707101
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454783729261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783734354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783734542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783775995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783776136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783778948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783779136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783788669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783788856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1454783799950
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1454783812009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783813890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783814046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783819226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783819398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783821679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783823742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783825992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783826148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783827913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783828085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783837157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1454783837266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1454783868767
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1454783873548
